Age,pop,gp,gender
18,44411.00,1,1
19,44935.00,1,1
20,45901.00,1,1
21,45343.00,1,1
22,46752.00,1,1
23,42530.00,1,1
24,41187.00,1,1
25,44532.00,1,1
26,45637.00,1,1
27,45815.00,1,1
28,47087.00,1,1
29,46427.00,1,1
30,46156.00,2,1
31,45643.00,2,1
32,44508.00,2,1
33,43885.00,2,1
34,45568.00,2,1
35,44274.00,2,1
36,47320.00,2,1
37,47529.00,2,1
38,48579.00,2,1
39,46787.00,2,1
40,47295.00,3,1
41,47323.00,3,1
42,48009.00,3,1
43,50169.00,3,1
44,49855.00,3,1
45,53448.00,3,1
46,59014.00,3,1
47,60490.00,3,1
48,63809.00,3,1
49,58545.00,3,1
50,63668.00,4,1
51,64437.00,4,1
52,62776.00,4,1
53,62088.00,4,1
54,59806.00,4,1
55,57363.00,4,1
56,54077.00,4,1
57,50981.00,4,1
58,46610.00,4,1
59,44879.00,4,1
60,45007.00,5,1
61,45403.00,5,1
62,41137.00,5,1
63,38285.00,5,1
64,35314.00,5,1
65,26627.00,5,1
66,25609.00,5,1
67,25187.00,5,1
68,22961.00,5,1
69,21137.00,5,1
70,23360.00,6,1
71,23480.00,6,1
72,23369.00,6,1
73,23934.00,6,1
74,22592.00,6,1
75,20920.00,6,1
76,19362.00,6,1
77,20683.00,6,1
78,19063.00,6,1
79,16943.00,6,1
80,16291.00,6,1
81,14463.00,6,1
82,11698.00,6,1
83,10583.00,6,1
84,9294.00,6,1
85,40701.00,6,1
18,43070.00,1,2
19,42716.00,1,2
20,42439.00,1,2
21,44262.00,1,2
22,47571.00,1,2
23,47453.00,1,2
24,48103.00,1,2
25,53635.00,1,2
26,58738.00,1,2
27,62369.00,1,2
28,65756.00,1,2
29,64119.00,1,2
30,65519.00,2,2
31,66345.00,2,2
32,65466.00,2,2
33,63757.00,2,2
34,63158.00,2,2
35,62325.00,2,2
36,66551.00,2,2
37,66908.00,2,2
38,67986.00,2,2
39,64347.00,2,2
40,67851.00,3,2
41,67066.00,3,2
42,67834.00,3,2
43,65166.00,3,2
44,62111.00,3,2
45,66671.00,3,2
46,71675.00,3,2
47,74419.00,3,2
48,76923.00,3,2
49,66741.00,3,2
50,66640.00,4,2
51,67109.00,4,2
52,65590.00,4,2
53,64166.00,4,2
54,61415.00,4,2
55,58242.00,4,2
56,54527.00,4,2
57,52418.00,4,2
58,47559.00,4,2
59,46413.00,4,2
60,44663.00,5,2
61,45207.00,5,2
62,40863.00,5,2
63,37761.00,5,2
64,35926.00,5,2
65,27019.00,5,2
66,24099.00,5,2
67,22810.00,5,2
68,19824.00,5,2
69,19027.00,5,2
70,20926.00,6,2
71,21569.00,6,2
72,23981.00,6,2
73,23779.00,6,2
74,23450.00,6,2
75,23189.00,6,2
76,21777.00,6,2
77,22347.00,6,2
78,21307.00,6,2
79,19560.00,6,2
80,19750.00,6,2
81,17616.00,6,2
82,16255.00,6,2
83,15544.00,6,2
84,14588.00,6,2
85,84638.00,6,2
